clientes,tempo_ms
353,7.9463
354,7.8392
355,8.0608
356,7.5206
357,7.4843
358,7.7314
359,7.615
360,7.5837
361,7.8798
362,8.0841
363,7.8921
364,7.9227
365,7.9184
366,8.0997
367,7.9263
368,8.0927
369,8.1143
370,8.0973
371,8.1135
372,8.0451
373,8.0288
374,8.0528
375,8.125
376,8.0521
377,8.2328
378,8.0077
379,8.1835
380,8.5316
381,8.8903
382,8.0919
383,8.4962
384,8.0267
385,8.5572
386,8.1894
387,8.3764
388,8.3484
389,8.5368
390,9.4439
391,8.5252
392,8.5819
393,8.5104
394,8.6767
395,9.0113
396,8.5655
397,8.5974
398,8.5225
399,9.1851
400,8.6887
401,8.6475
402,8.6413
403,8.9551
404,9.506
405,8.756
406,8.9517
407,8.8237
408,8.9149
409,8.8077
410,9.029
411,8.8899
412,8.879
413,9.354
414,9.2534
415,9.0063
416,9.1372
417,9.2796
418,8.9449
419,9.401
420,9.1102
421,8.9954
422,8.9765
423,9.6384
424,9.7931
425,9.0815
426,9.3484
427,9.5353
428,9.0912
429,9.076
430,9.1832
431,9.3866
432,9.265
433,9.4065
434,9.5386
435,9.4792
436,9.4985
437,9.8144
438,9.621
439,9.4668
440,9.7556
441,9.489
442,9.9529
443,9.6079
444,9.4963
445,9.4888
446,9.4123
447,9.5974
448,10.059
449,10.1344
450,9.8925
451,9.6546
452,9.5535
453,9.9854
454,10.1661
455,10.1538
456,11.0365
457,10.2248
458,9.7363
459,9.924
460,9.7816
461,10.1608
462,9.5089
463,9.9287
464,10.6178
465,9.8355
466,10.0755
467,9.9047
468,10.3167
469,10.1688
470,11.0572
471,10.5059
472,10.2936
473,10.5072
474,10.4234
475,10.4032
476,10.2615
477,10.4693
478,10.8018
479,10.5665
480,10.7028
481,10.1261
482,10.7708
483,11.0287
484,10.3915
485,10.9
486,11.0085
487,10.81
488,11.0865
489,10.6953
490,10.6303
491,10.7279
492,10.8864
493,11.0981
494,10.6649
495,52.5598
496,11.4069
497,11.8871
498,11.1545
499,10.6914
500,10.8951
