eventos_por_pacote,tempo_ms
402,862.789
403,916.891
404,846.807
405,911.949
406,890.476
407,682.964
408,702.773
409,549.078
410,609.85
411,490.111
412,252.907
413,255.532
414,252.41
415,256.691
416,253.699
417,256.167
418,255.595
419,257.777
420,254.022
421,256.692
422,254.798
423,255.826
424,259.799
425,261.149
426,264.451
427,260.896
428,269.179
429,261.344
430,260.793
431,263.954
432,265.736
433,264.72
434,262.812
435,266.423
436,267.478
437,268.239
438,270.623
439,272.205
440,270.841
441,274.623
442,271.245
443,272.336
444,274.086
445,272.446
446,275.123
447,276.175
448,273.252
449,275.208
450,277.736
451,278.273
452,281.389
453,277.707
454,280.782
455,279.756
456,280.929
457,280.599
458,280.485
459,280.534
460,284.541
461,286.372
462,282.338
463,285.651
464,287.603
465,285.788
466,288.286
467,289.821
468,288.821
469,286.48
470,288.882
471,287.184
472,289.26
473,288.155
474,291.554
475,295.281
476,292.834
477,294.748
478,293.167
479,293.933
480,298.221
481,297.828
482,297.692
483,296.935
484,298.063
485,297.333
486,299.34
487,301.6
488,300.051
489,301.474
490,300.408
491,301.724
492,305.51
493,317.421
494,302.608
495,308.615
496,303.93
497,308.88
498,304.467
499,309.519
500,316.64
